FMNH,Species,DNA,Specimens,Parts,EventCode,FixationMethod,LabNotes,Uncertainty,Subclass,Order,Family,Habitat,PhotosLab,PhotosUnderwater,IdentifiedBy,CollectedBy,Phylum,Class,SampleCode
327911,Haliotis tuberculata,YES,1,Ethanol95%: foot clip; whole body/shell,CAN23E02,Ethanol95%,,,Vetigastropoda,Haliotida,Haliotidae,under rocks,80D: 4423-4437,,Tauana Cunha,Juan Moles,Mollusca,Gastropoda,CAN23E02S01
327913,Haliotis tuberculata,YES,1,Ethanol95%: shell/whole body,CAN23E11X2,MgCl₂ > Ethanol95%,same falcon S59-S61; separated in lab when Rosana cataloguing,,Vetigastropoda,Haliotida,Haliotidae,under rocks,,,Tauana Cunha,Tauana Cunha,Mollusca,Gastropoda,CAN23E11X2S60
327914,Haliotis tuberculata,YES,2,Ethanol95%: shell/whole body,CAN23E12,MgCl₂ > Ethanol95%,"looks a bit different than others from the trip, shorter and browner with white instead of red, but apparently species has a lor of color variation",,Vetigastropoda,Haliotida,Haliotidae,under rocks,80D: 4660-4676,,Tauana Cunha,Tauana Cunha,Mollusca,Gastropoda,CAN23E12S64
327912,Haliotis tuberculata,YES,4,Ethanol95%: shell/whole body,CAN23E03,Ethanol95%,,,Vetigastropoda,Haliotida,Haliotidae,under rocks,,,Tauana Cunha,"Tauana Cunha, Diego Vazquez",Mollusca,Gastropoda,CAN23E03S02
327978,Diodora graeca,YES,3,Ethanol95%: shell/whole body,CAN23E15,MgCl₂ > Ethanol95%,"plus one empty shell; under small rocks, all in one pile, not found anywhere else",,Vetigastropoda,Fissurellidae,Fissurellidae,under rocks,"80D: 4725-4740, 4756-4758",,Tauana Cunha,Juan Moles,Mollusca,Gastropoda,CAN23E15S68
327922,Patella aspera,YES,1,Ethanol95%: shell/whole body,CAN23E04,Ethanol95%,3 species in same vial; lighter color shell; separated in lab when Rosana cataloguing,,Patellogastropoda,N/A,Patellidae,rocks,,,Tauana Cunha,Tauana Cunha,Mollusca,Gastropoda,CAN23E04S07X01
327923,Patella aspera,YES,3,Ethanol95%: shell/whole body,CAN23E06,Ethanol95%,"covered with calcareous algae; pinl shines through inside, flesh yellow/white, doesn't look like any in book",,Patellogastropoda,N/A,Patellidae,submersed rocks,80D of small: 4491-4492; cel: 9139-9141,,Tauana Cunha,Tauana Cunha,Mollusca,Gastropoda,CAN23E06S21
327915,Patella caerulea,YES,1,Ethanol95%: shell/whole body,CAN23E04,Ethanol95%,3 species in same vial; star-like; separated in lab when Rosana cataloguing,,Patellogastropoda,N/A,Patellidae,rocks,,,Tauana Cunha,Tauana Cunha,Mollusca,Gastropoda,CAN23E04S07X02
327916,Patella caerulea,skip for now,1,Ethanol95%: shell/whole body,CAN23E09,MgCl₂ > Ethanol95%,"same vial as S42X02; big: drak gray shell; one small and one tiny; photo of medium size; split lot, the largest in this lot",,Patellogastropoda,N/A,Patellidae,on rocks,,,Tauana Cunha,Tauana Cunha,Mollusca,Gastropoda,CAN23E09S42X01
327917,Patella caerulea,YES,1,Ethanol95%: shell/whole body,CAN23E11X2,MgCl₂ > Ethanol95%,same falcon S59-S61; separated in lab when Rosana cataloguing,,Patellogastropoda,N/A,Patellidae,exposed rocks,,,Tauana Cunha,Tauana Cunha,Mollusca,Gastropoda,CAN23E11X2S61
327918,Patella caerulea,YES,1,Ethanol95%: shell/whole body,CAN23E14,Ethanol95%,"together S74,S76; separated in lab when Rosana cataloguing",,Patellogastropoda,N/A,Patellidae,exposed rocks,,G12: 7102-7104,Tauana Cunha,"Juan Moles, Tauana Cunha, José Fernández, Diego Vazquez",Mollusca,Gastropoda,CAN23E14S76
327932,Patella candei,YES,1,Ethanol95%: shell/whole body,CAN23E11X2,MgCl₂ > Ethanol95%,same falcon S59-S61; separated in lab when Rosana cataloguing,,Patellogastropoda,N/A,Patellidae,exposed rocks,,,Tauana Cunha,Tauana Cunha,Mollusca,Gastropoda,CAN23E11X2S59
327933,Patella candei,skip for now,1,Ethanol95%: shell/whole body,CAN23E11X2,MgCl₂ > Ethanol95%,2ml tube; small dark gray limpet; apex close to edge,cf.,Patellogastropoda,N/A,Patellidae,exposed rocks,,,Tauana Cunha,Tauana Cunha,Mollusca,Gastropoda,CAN23E11X2S63
327931,Patella candei,YES,2,Ethanol95%: shell/whole body,CAN23E09,MgCl₂ > Ethanol95%,"same vial as S42X01; split lot, two smallest in this lot; tiny one like S63, possibly P. candei",cf.,Patellogastropoda,N/A,Patellidae,on rocks,80D: 4553,,Tauana Cunha,Tauana Cunha,Mollusca,Gastropoda,CAN23E09S42X02
327920,Patella piperata,YES,1,Ethanol95%: shell/whole body,CAN23E11X2,MgCl₂ > Ethanol95%,,,Patellogastropoda,N/A,Patellidae,exposed rocks,,,Tauana Cunha,Tauana Cunha,Mollusca,Gastropoda,CAN23E11X2S58
327919,Patella piperata,YES,2,Ethanol95%: shell/whole body,CAN23E03,Ethanol95%,In same vial as E04S07; separated in lab when Rosana cataloguing,,Patellogastropoda,N/A,Patellidae,rocks,,,Tauana Cunha,Tauana Cunha,Mollusca,Gastropoda,CAN23E03S03
327921,Patella piperata,YES,2,Ethanol95%: shell/whole body,CAN23E14,Ethanol95%,"together S74,S76; separated in lab when Rosana cataloguing",,Patellogastropoda,N/A,Patellidae,exposed rocks,,"G12: 7094-95, 7098, 7101",Tauana Cunha,Tauana Cunha,Mollusca,Gastropoda,CAN23E14S74
327905,Patella sp.,YES,1,Ethanol95%: shell/whole body,CAN23E04,Ethanol95%,3 species in same vial; small darker possibly crenata; separated in lab when Rosana cataloguing,,Patellogastropoda,N/A,Patellidae,rocks,,,Tauana Cunha,Tauana Cunha,Mollusca,Gastropoda,CAN23E04S07X03
327929,Clanculus berthelotii,skip for now,1,Ethanol95%: shell/whole body,CAN23E14,MgCl₂ > Ethanol95%,"small, under big rock",,Vetigastropoda,Trochida,Trochidae,under rocks,,,Tauana Cunha,"Juan Moles, Tauana Cunha, José Fernández, Diego Vazquez",Mollusca,Gastropoda,CAN23E14S78
327930,Clanculus berthelotii,YES,4,Ethanol95%: shell/whole body,CAN23E15,MgCl₂ > Ethanol95%,one retracted in MgCl2,,Vetigastropoda,Trochida,Trochidae,under rocks,80D: 4741-4753,,Tauana Cunha,"Tauana Cunha, Juan Moles",Mollusca,Gastropoda,CAN23E15S69
327942,Gibbula aurantia,,8,Ethanol95%: shell/whole body,CAN23E08,MgCl₂ > Ethanol95%,"colors vary, maybe more than one thing; G. spurca another option, originally I had put G. racketti",cf.,Vetigastropoda,Trochida,Trochidae,under rocks,80D: 4515-4524,,Tauana Cunha,"Juan Moles, Tauana Cunha, José Fernández, Diego Vazquez",Mollusca,Gastropoda,CAN23E08S31
