extraction_id,lot_id,species,plate_id,plate_well,extraction_date,extraction_kit,elution_ul,Qubit_DNA_[ng/ul],Nanodrop_[ng/ul],Nanodrop_260/280,Nanodrop_260/230,Qubit : Nanodrop,clip_over,contamination_plate,contamination_wells,extraction_notes,piece_size,Qubit_after_SpeedVac
gDNA-0001,PAN20E004S059,Crepidula navicella,tube,N/A,4-Feb-2021,omega ENZA mollusc,105,39.4,62.3,1.89,1.72,0.63,N,,,,,
gDNA-0002,PAN20E004S072,Lucapinella elenorae cf.,tube,N/A,10-Feb-2021,omega ENZA mollusc,105,95.3,113.4,1.96,2.43,0.84,N,,,,,
gDNA-0003,PAN20E015S306,Siphonaria palmata,tube,N/A,4-Feb-2021,omega ENZA mollusc,105,36.3,50,1.92,2.15,0.73,N,,,,,
gDNA-0004,PAN20E015S325,Crepidula incurva,tube,N/A,4-Feb-2021,omega ENZA mollusc,105,54.3,99.4,1.94,2.1,0.55,N,,,,,
gDNA-0005,PAN20E015S330,Nerita costata,tube,N/A,4-Feb-2021,omega ENZA mollusc,105,80.8,163.9,1.98,2.12,0.49,N,,,,,
gDNA-0006,PAN20E015S332,Vasula melones,tube,N/A,3-Feb-2021,omega ENZA mollusc,105,18.9,44.1,1.97,1.88,0.43,N,,,,,
gDNA-0007,PAN20E016S353,Lottia filosa,tube,N/A,4-Feb-2021,omega ENZA mollusc,105,46,112.5,1.93,1.67,0.41,N,,,,,
gDNA-0008,PAN20E017S407,Tegula picta,tube,N/A,4-Feb-2021,omega ENZA mollusc,105,71.8,134.6,1.97,2.3,0.53,N,,,,,
gDNA-0009,PAN20E017S417,Acanthais brevidentata,tube,N/A,4-Feb-2021,omega ENZA mollusc,105,18.3,58.9,2.05,2.01,0.31,N,,,,,
gDNA-0010,PAN20E017S420,Diodora alta,tube,N/A,10-Feb-2021,omega ENZA mollusc,105,46.8,61.9,1.96,2.19,0.76,N,,,,,
gDNA-0011,PAN20E017S433,Fissurella virescens,tube,N/A,3-Feb-2021,omega ENZA mollusc,105,83.1,137.6,1.98,2.13,0.60,N,,,,,
gDNA-0012,PAN20E017S435,Scurria stipulata,tube,N/A,4-Feb-2021,omega ENZA mollusc,105,38,101.7,2.01,1.95,0.37,N,,,,,
gDNA-0013,PAN20E016S386,Nerita funiculata,tube,N/A,15-May-2021,omega ENZA mollusc,95,110,40,1.86,2.09,2.75,Y,,,,,
gDNA-0014,PAN21E021S601,Acanthais brevidentata,gDNA-PL01,A1,22-Oct-2021,Omega E-Z 96 Plant DNA DS Kit,200,11.9,,,,,N,"liquid on the corners of plate during lysis shaking; most steps with non-filtered tips - contact with multichannel; used lysis plate upside down, but transferred correctly to column plate - keep an eye for a tiny chance position of samples in plate is inverted",,,,
gDNA-0015,PAN21E020S541,Tegula picta,gDNA-PL01,B1,22-Oct-2021,Omega E-Z 96 Plant DNA DS Kit,200,37.2,,,,,N,"liquid on the corners of plate during lysis shaking; most steps with non-filtered tips - contact with multichannel; used lysis plate upside down, but transferred correctly to column plate - keep an eye for a tiny chance position of samples in plate is inverted",,,,
gDNA-0016,PAN21E028S904,Nerita funiculata,gDNA-PL01,C1,22-Oct-2021,Omega E-Z 96 Plant DNA DS Kit,200,9.14,,,,,N,"liquid on the corners of plate during lysis shaking; most steps with non-filtered tips - contact with multichannel; used lysis plate upside down, but transferred correctly to column plate - keep an eye for a tiny chance position of samples in plate is inverted",,,,
gDNA-0017,PAN21E026S825,Nerita funiculata,gDNA-PL01,D1,22-Oct-2021,Omega E-Z 96 Plant DNA DS Kit,200,12.7,,,,,N,"liquid on the corners of plate during lysis shaking; most steps with non-filtered tips - contact with multichannel; used lysis plate upside down, but transferred correctly to column plate - keep an eye for a tiny chance position of samples in plate is inverted",,,,
gDNA-0018,PAN21E022S641,Nerita funiculata,gDNA-PL01,E1,22-Oct-2021,Omega E-Z 96 Plant DNA DS Kit,200,49.8,,,,,N,"liquid on the corners of plate during lysis shaking; most steps with non-filtered tips - contact with multichannel; used lysis plate upside down, but transferred correctly to column plate - keep an eye for a tiny chance position of samples in plate is inverted",,,,
gDNA-0019,PAN20E016S375,Vasula melones,gDNA-PL01,F1,22-Oct-2021,Omega E-Z 96 Plant DNA DS Kit,200,7.68,,,,,N,"liquid on the corners of plate during lysis shaking; most steps with non-filtered tips - contact with multichannel; used lysis plate upside down, but transferred correctly to column plate - keep an eye for a tiny chance position of samples in plate is inverted",,,,
gDNA-0020,PAN21E027S860,Nerita funiculata,gDNA-PL01,G1,22-Oct-2021,Omega E-Z 96 Plant DNA DS Kit,200,8.44,,,,,N,"liquid on the corners of plate during lysis shaking; most steps with non-filtered tips - contact with multichannel; used lysis plate upside down, but transferred correctly to column plate - keep an eye for a tiny chance position of samples in plate is inverted",,,,
gDNA-0021,PAN21E025S795,Acanthais brevidentata,gDNA-PL01,H1,22-Oct-2021,Omega E-Z 96 Plant DNA DS Kit,200,6.48,,,,,N,"liquid on the corners of plate during lysis shaking; most steps with non-filtered tips - contact with multichannel; used lysis plate upside down, but transferred correctly to column plate - keep an eye for a tiny chance position of samples in plate is inverted",,,,
gDNA-0022,PAN20E016S393,Acanthais brevidentata,gDNA-PL01,A2,22-Oct-2021,Omega E-Z 96 Plant DNA DS Kit,200,9.36,,,,,Y,"liquid on the corners of plate during lysis shaking; most steps with non-filtered tips - contact with multichannel; used lysis plate upside down, but transferred correctly to column plate - keep an eye for a tiny chance position of samples in plate is inverted",,,,
gDNA-0023,PAN21E023S696,Nerita funiculata,gDNA-PL01,B2,22-Oct-2021,Omega E-Z 96 Plant DNA DS Kit,200,28.4,,,,,N,"liquid on the corners of plate during lysis shaking; most steps with non-filtered tips - contact with multichannel; used lysis plate upside down, but transferred correctly to column plate - keep an eye for a tiny chance position of samples in plate is inverted",,,,
gDNA-0024,PAN20E008S135,Nerita funiculata,gDNA-PL01,C2,22-Oct-2021,Omega E-Z 96 Plant DNA DS Kit,200,16.7,,,,,Y,"liquid on the corners of plate during lysis shaking; most steps with non-filtered tips - contact with multichannel; used lysis plate upside down, but transferred correctly to column plate - keep an eye for a tiny chance position of samples in plate is inverted",,,,
gDNA-0025,PAN21E018S450,Vasula melones,gDNA-PL01,D2,22-Oct-2021,Omega E-Z 96 Plant DNA DS Kit,200,33.6,,,,,N,"liquid on the corners of plate during lysis shaking; most steps with non-filtered tips - contact with multichannel; used lysis plate upside down, but transferred correctly to column plate - keep an eye for a tiny chance position of samples in plate is inverted",,,,
gDNA-0026,PAN21E023S705,Fissurella virescens,gDNA-PL01,E2,22-Oct-2021,Omega E-Z 96 Plant DNA DS Kit,200,15.8,,,,,N,"liquid on the corners of plate during lysis shaking; most steps with non-filtered tips - contact with multichannel; used lysis plate upside down, but transferred correctly to column plate - keep an eye for a tiny chance position of samples in plate is inverted",,,,
gDNA-0027,PAN21E021S599,Acanthais brevidentata,gDNA-PL01,F2,22-Oct-2021,Omega E-Z 96 Plant DNA DS Kit,200,7.34,,,,,N,"liquid on the corners of plate during lysis shaking; most steps with non-filtered tips - contact with multichannel; used lysis plate upside down, but transferred correctly to column plate - keep an eye for a tiny chance position of samples in plate is inverted","tiny piece of PAN21E016S375 Vasula fell inside dry well when filling lane 1, I removed it and proceeded",,,
gDNA-0028,PAN20E017S406,Tegula picta,gDNA-PL01,G2,22-Oct-2021,Omega E-Z 96 Plant DNA DS Kit,200,22.2,,,,,N,"liquid on the corners of plate during lysis shaking; most steps with non-filtered tips - contact with multichannel; used lysis plate upside down, but transferred correctly to column plate - keep an eye for a tiny chance position of samples in plate is inverted",,,,
gDNA-0029,PAN20E010S172,Acanthais brevidentata,gDNA-PL01,H2,22-Oct-2021,Omega E-Z 96 Plant DNA DS Kit,200,7.52,,,,,N,"liquid on the corners of plate during lysis shaking; most steps with non-filtered tips - contact with multichannel; used lysis plate upside down, but transferred correctly to column plate - keep an eye for a tiny chance position of samples in plate is inverted",,,,
gDNA-0030,PAN21E018S458,Fissurella virescens,gDNA-PL01,A3,22-Oct-2021,Omega E-Z 96 Plant DNA DS Kit,200,27.2,,,,,N,"liquid on the corners of plate during lysis shaking; most steps with non-filtered tips - contact with multichannel; used lysis plate upside down, but transferred correctly to column plate - keep an eye for a tiny chance position of samples in plate is inverted",,,,
gDNA-0031,PAN20E005S074,Vasula melones,gDNA-PL01,B3,22-Oct-2021,Omega E-Z 96 Plant DNA DS Kit,200,1.68,,,,,Y,"liquid on the corners of plate during lysis shaking; most steps with non-filtered tips - contact with multichannel; used lysis plate upside down, but transferred correctly to column plate - keep an eye for a tiny chance position of samples in plate is inverted",,,,4.32
gDNA-0032,PAN20E011S178,Vasula melones,gDNA-PL01,C3,22-Oct-2021,Omega E-Z 96 Plant DNA DS Kit,200,17.6,,,,,N,"liquid on the corners of plate during lysis shaking; most steps with non-filtered tips - contact with multichannel; used lysis plate upside down, but transferred correctly to column plate - keep an eye for a tiny chance position of samples in plate is inverted",,,,
gDNA-0033,PAN20E016S362,Fissurella virescens,gDNA-PL01,D3,22-Oct-2021,Omega E-Z 96 Plant DNA DS Kit,200,21.2,,,,,N,"liquid on the corners of plate during lysis shaking; most steps with non-filtered tips - contact with multichannel; used lysis plate upside down, but transferred correctly to column plate - keep an eye for a tiny chance position of samples in plate is inverted",,,,
gDNA-0034,PAN21E019S506,Vasula melones,gDNA-PL01,E3,22-Oct-2021,Omega E-Z 96 Plant DNA DS Kit,200,13,,,,,N,"liquid on the corners of plate during lysis shaking; most steps with non-filtered tips - contact with multichannel; used lysis plate upside down, but transferred correctly to column plate - keep an eye for a tiny chance position of samples in plate is inverted",,,,
gDNA-0035,PAN20E010S170,Nerita funiculata,gDNA-PL01,F3,22-Oct-2021,Omega E-Z 96 Plant DNA DS Kit,200,29.8,,,,,Y,"liquid on the corners of plate during lysis shaking; most steps with non-filtered tips - contact with multichannel; used lysis plate upside down, but transferred correctly to column plate - keep an eye for a tiny chance position of samples in plate is inverted",,,,
gDNA-0036,PAN21E021S621,Fissurella virescens,gDNA-PL01,G3,22-Oct-2021,Omega E-Z 96 Plant DNA DS Kit,200,21,,,,,N,"liquid on the corners of plate during lysis shaking; most steps with non-filtered tips - contact with multichannel; used lysis plate upside down, but transferred correctly to column plate - keep an eye for a tiny chance position of samples in plate is inverted",,,,
gDNA-0037,PAN20E006S105,Nerita funiculata,gDNA-PL01,H3,22-Oct-2021,Omega E-Z 96 Plant DNA DS Kit,200,9.04,,,,,Y,"liquid on the corners of plate during lysis shaking; most steps with non-filtered tips - contact with multichannel; used lysis plate upside down, but transferred correctly to column plate - keep an eye for a tiny chance position of samples in plate is inverted",,,,
gDNA-0038,PAN21E025S777,Fissurella virescens,gDNA-PL01,A4,22-Oct-2021,Omega E-Z 96 Plant DNA DS Kit,200,20.6,,,,,N,"liquid on the corners of plate during lysis shaking; most steps with non-filtered tips - contact with multichannel; used lysis plate upside down, but transferred correctly to column plate - keep an eye for a tiny chance position of samples in plate is inverted",,,,
