lot_id,sufix,event_code,species,genus,epithet,clade,family,development,habitat,fixation_method,specimens,parts,vial,operculum,notes,photos_org,identification_by,Voucher,SecondVoucherClip,
PAN20E001S001,,PAN20E001,Vasula melones,Vasula,melones,Caenogastropoda,Muricidae,planktotrophic,"rocks, intertidal",Ethanol,1,Ethanol: foot clip; whole body/shell,glass,,,,Tauana Cunha,USNM1664797,,
PAN20E001S002,,PAN20E001,Vasula melones,Vasula,melones,Caenogastropoda,Muricidae,planktotrophic,"rocks, intertidal",Ethanol,1,Ethanol: foot clip; whole body/shell,glass,,,,Tauana Cunha,,,
PAN20E001S003,,PAN20E001,Columbellidae? sp.1,Columbellidae?,sp.1,Caenogastropoda,Columbellidae,planktotrophic,"rocks, intertidal",Ethanol,2,Ethanol: foot clip; whole body/shell,glass,,"PAN20E001S003.1 and .2; Maybe not adults?; 2 individuals together in glass, tissue clips separate in two 2ml tubes",,Tauana Cunha,USNM1664686,,
PAN20E001S004,,PAN20E001,Columbellidae? sp.1,Columbellidae?,sp.1,Caenogastropoda,Columbellidae,planktotrophic,"rocks, intertidal",Microwave then ethanol,1,Ethanol: whole body/shell,glass,,"Microwaved, but went deep in shell",,Tauana Cunha,,,
PAN20E001S005,,PAN20E001,Diodora inaequalis,Diodora,inaequalis,Vetigastropoda,Fissurellidae,lecithotrophic,"under rocks, intertidal",Ethanol,1,Ethanol: foot clip; whole body/shell,glass,,"mantle with wine radial lines, also in snout; mantle with flower-like papillae a bit above margin; callus truncated, bordered by black (but not on truncated side)",,Tauana Cunha,USNM1665304,,
PAN20E001S006,,PAN20E001,Siphonaria palmata,Siphonaria,palmata,Heterobranchia,Siphonariidae,planktotrophic,dry rocks,Ethanol,1,Ethanol: foot clip; whole body/shell,glass,,on same rock PAN20E001S006-008,,Tauana Cunha,,,
PAN20E001S007,,PAN20E001,Siphonaria palmata,Siphonaria,palmata,Heterobranchia,Siphonariidae,planktotrophic,dry rocks,Ethanol,1,Ethanol: foot clip; whole body/shell,glass,,on same rock PAN20E001S006-008,,Tauana Cunha,USNM1664908,,
PAN20E001S008,,PAN20E001,Siphonaria palmata,Siphonaria,palmata,Heterobranchia,Siphonariidae,planktotrophic,dry rocks,Ethanol,1,Ethanol: foot clip; whole body/shell,glass,,on same rock PAN20E001S006-008,,Tauana Cunha,,,
PAN20E001S009,,PAN20E001,Tegula melaleucus,Tegula,melaleucus,Vetigastropoda,Tegulidae,lecithotrophic,N/A,Microwave then ethanol,1,Ethanol: foot clip; whole body/shell,glass,,"had to microwave before clipping foot; mostly incrusted, but not at base and margin of aperture; tissue color still visible after months: brown stripes",,Tauana Cunha,USNM1665405,,
PAN20E001S010,,PAN20E001,Engina maura,Engina,maura,Caenogastropoda,Pisaniidae,planktotrophic,"rocks, intertidal",Ethanol,1,Ethanol: foot clip; whole body/shell,glass,,,,Tauana Cunha,USNM1664893,,
PAN20E001S011,,PAN20E001,Engina maura,Engina,maura,Caenogastropoda,Pisaniidae,planktotrophic,"rocks, intertidal",Ethanol,1,Ethanol: foot clip; whole body/shell,glass,,,,Tauana Cunha,USNM1664894,,
PAN20E001S012,,PAN20E001,Engina maura,Engina,maura,Caenogastropoda,Pisaniidae,planktotrophic,"rocks, intertidal",Ethanol,1,Ethanol: whole body/shell,glass,removed,,,Tauana Cunha,,,
PAN20E001S013,,PAN20E001,Leucozonia cerata,Leucozonia,cerata,Caenogastropoda,Fasciolariidae,planktotrophic,"rocks, intertidal",Ethanol,1,Ethanol: foot clip; whole body/shell,glass,,bright pink body; foot clip small,,Tauana Cunha,,,
PAN20E001S014,,PAN20E001,Leucozonia cerata,Leucozonia,cerata,Caenogastropoda,Fasciolariidae,planktotrophic,"rocks, intertidal",Ethanol,1,Ethanol: foot clip; whole body/shell,glass,removed,,,Tauana Cunha,USNM1664689,,
PAN20E001S015,,PAN20E001,Fasciolariidae? sp.1,Fasciolariidae?,sp.1,Caenogastropoda,Fasciolariidae,planktotrophic,N/A,Ethanol,1,Ethanol: foot clip; whole body/shell,glass,,Latirus?,,Tauana Cunha,USNM1664688,,
PAN20E001S016,,PAN20E001,Fasciolariidae? sp.1,Fasciolariidae?,sp.1,Caenogastropoda,Fasciolariidae,planktotrophic,N/A,Ethanol,1,Ethanol: foot clip; whole body/shell,glass,,Latirus?,,Tauana Cunha,,,
PAN20E001S017,,PAN20E001,Leucozonia cerata,Leucozonia,cerata,Caenogastropoda,Fasciolariidae,planktotrophic,"rocks, intertidal",Microwave then ethanol,1,Ethanol: foot clip; whole body/shell,glass,,"microwaved, but couldn't pull tissue out",,Tauana Cunha,,,
PAN20E001S018,,PAN20E001,Fissurella virescens,Fissurella,virescens,Vetigastropoda,Fissurellidae,lecithotrophic,"dry rocks, crevices",Ethanol,1,Ethanol: foot clip; whole body/shell,glass,,"with 2 flatworms in palial cavity, they rush out when snail is cut",,Tauana Cunha,,,
PAN20E001S019,,PAN20E001,Fissurella virescens,Fissurella,virescens,Vetigastropoda,Fissurellidae,lecithotrophic,"dry rocks, crevices",Ethanol,1,Ethanol: foot clip; whole body/shell,falcon,,on same rock PAN20E001S019-020,,Tauana Cunha,USNM1665307,,
PAN20E001S020,,PAN20E001,Fissurella virescens,Fissurella,virescens,Vetigastropoda,Fissurellidae,lecithotrophic,"dry rocks, crevices","MgCl2, ethanol",1,Ethanol: whole body/shell,falcon,,"on same rock PAN20E001S019-020; was already dead, perhaps too much time in MgCl2 last night",,Tauana Cunha,,,
PAN20E001S021,,PAN20E001,Nerita albicilla,Nerita,albicilla,Neritimorpha,Neritidae,planktotrophic,"dry rocks, crevices",Ethanol,1,Ethanol: foot clip; whole body/shell,,,on same rock PAN20E001S021-022,,Tauana Cunha,FMNH327643,,
PAN20E001S022,,PAN20E001,Nerita albicilla,Nerita,albicilla,Neritimorpha,Neritidae,planktotrophic,"dry rocks, crevices",Ethanol,1,Ethanol: foot clip; whole body/shell,,,on same rock PAN20E001S021-022,,Tauana Cunha,FMNH327644,,
PAN20E001S023,,PAN20E001,Leucozonia cerata,Leucozonia,cerata,Caenogastropoda,Fasciolariidae,planktotrophic,"rocks, intertidal",Microwave then ethanol,1,Ethanol: whole body/shell,glass,,microwaved,,Tauana Cunha,,,
PAN20E001S024,,PAN20E001,Acanthais brevidentata,Acanthais,brevidentata,Caenogastropoda,Muricidae,planktotrophic,"dry rocks, crevices",Ethanol,1,Ethanol: foot clip; whole body/shell,falcon,,,,Tauana Cunha,USNM1664697,,
PAN20E002S025,,PAN20E002,Siphonaria palmata,Siphonaria,palmata,Heterobranchia,Siphonariidae,planktotrophic,dry rocks,Ethanol,1,Ethanol: foot clip; whole body/shell,glass,,on same rock PAN20E002S025-027,,Tauana Cunha,USNM1664909,,
PAN20E002S026,,PAN20E002,Siphonaria palmata,Siphonaria,palmata,Heterobranchia,Siphonariidae,planktotrophic,dry rocks,Ethanol,1,Ethanol: foot clip; whole body/shell,glass,,on same rock PAN20E002S025-027,,Tauana Cunha,USNM1664910,,
PAN20E002S027,,PAN20E002,Siphonaria palmata,Siphonaria,palmata,Heterobranchia,Siphonariidae,planktotrophic,dry rocks,Ethanol,2,Ethanol: whole body/shell,glass,,on same rock PAN20E002S025-027,,Tauana Cunha,,,
PAN20E002S028,,PAN20E002,Fissurella virescens,Fissurella,virescens,Vetigastropoda,Fissurellidae,lecithotrophic,"dry rocks, crevices",Ethanol,1,Ethanol: foot clip; whole body/shell,falcon,,on same rock PAN20E002S028-029,,Tauana Cunha,USNM1665308,,
PAN20E002S029,,PAN20E002,Fissurella virescens,Fissurella,virescens,Vetigastropoda,Fissurellidae,lecithotrophic,"dry rocks, crevices",Ethanol,1,Ethanol: foot clip; whole body/shell,falcon,,on same rock PAN20E002S028-029,,Tauana Cunha,USNM1665309,,
PAN20E002S030,,PAN20E002,Engina maura,Engina,maura,Caenogastropoda,Pisaniidae,planktotrophic,"rocks, intertidal",Ethanol,1,Ethanol: whole body/shell,glass,,,,Tauana Cunha,,,
PAN20E002S031,,PAN20E002,Vasula melones,Vasula,melones,Caenogastropoda,Muricidae,planktotrophic,"rocks, intertidal",Ethanol,1,Ethanol: foot clip; whole body/shell,falcon,,,,Tauana Cunha,USNM1664798,,
PAN20E002S032,,PAN20E002,Vasula melones,Vasula,melones,Caenogastropoda,Muricidae,planktotrophic,"rocks, intertidal",Ethanol,1,Ethanol: foot clip; whole body/shell,falcon,,,,Tauana Cunha,USNM1664799,,
PAN20E002S033,,PAN20E002,Vasula melones,Vasula,melones,Caenogastropoda,Muricidae,planktotrophic,"rocks, intertidal",Microwave then ethanol,1,Ethanol: foot clip; whole body/shell,falcon,,microwaved,,Tauana Cunha,USNM1664800,,
PAN20E002S034,,PAN20E002,Acanthais brevidentata,Acanthais,brevidentata,Caenogastropoda,Muricidae,planktotrophic,"dry rocks, crevices",Ethanol,1,Ethanol: foot clip; whole body/shell,glass,,,,Tauana Cunha,USNM1664698,,
PAN20E002S035,,PAN20E002,Acanthais brevidentata,Acanthais,brevidentata,Caenogastropoda,Muricidae,planktotrophic,"dry rocks, crevices",Ethanol,1,Ethanol: foot clip; whole body/shell,falcon,,,,Tauana Cunha,USNM1664699,,
PAN20E002S036,,PAN20E002,Acanthais brevidentata,Acanthais,brevidentata,Caenogastropoda,Muricidae,planktotrophic,"dry rocks, crevices",Ethanol,1,Ethanol: foot clip; whole body/shell,glass,,,,Tauana Cunha,USNM1664700,,
PAN20E002S037,,PAN20E002,Nerita albicilla,Nerita,albicilla,Neritimorpha,Neritidae,planktotrophic,"dry rocks, crevices",Ethanol,1,Ethanol: foot clip; whole body/shell,,,on same rock PAN20E002S037-40,,Tauana Cunha,FMNH327645,,
PAN20E002S038,,PAN20E002,Nerita albicilla,Nerita,albicilla,Neritimorpha,Neritidae,planktotrophic,"dry rocks, crevices",Ethanol,1,Ethanol: foot clip; whole body/shell,,,on same rock PAN20E002S037-40,,Tauana Cunha,FMNH327646,,
PAN20E002S039,,PAN20E002,Nerita albicilla,Nerita,albicilla,Neritimorpha,Neritidae,planktotrophic,"dry rocks, crevices",Ethanol,1,Ethanol: foot clip; whole body/shell,,,on same rock PAN20E002S037-40,,Tauana Cunha,FMNH327647,,
PAN20E002S040,,PAN20E002,Nerita albicilla,Nerita,albicilla,Neritimorpha,Neritidae,planktotrophic,"dry rocks, crevices",Ethanol,1,Ethanol: foot clip; whole body/shell,,,on same rock PAN20E002S037-40,,Tauana Cunha,FMNH327648,,
PAN20E002S041,,PAN20E002,Tegula sp.1,Tegula,sp.1,Vetigastropoda,Tegulidae,lecithotrophic,"under rocks, intertidal",Ethanol,1,Ethanol: foot/head clip; whole body/shell,glass,,"together PAN20E002S041-042; orange/tan, 1 broad denticle in columella",,Tauana Cunha,,,
PAN20E002S042,,PAN20E002,Tegula sp.1,Tegula,sp.1,Vetigastropoda,Tegulidae,lecithotrophic,"under rocks, intertidal",Ethanol,1,Ethanol: foot/head clip; whole body/shell,2ml,,"together PAN20E002S041-042; small, broke shell to get tissue",Maycol:,Tauana Cunha,,,
PAN20E002S043,,PAN20E002,Diodora alta cf.,Diodora,alta cf.,Vetigastropoda,Fissurellidae,lecithotrophic,"under rocks, intertidal",Ethanol,1,Ethanol: whole body/shell,2ml,,"small juvenile, tripartite orifice, tissue white, shell color concentric",Maycol:,Tauana Cunha,USNM1665300,,
PAN20E002S044,,PAN20E002,Patellogastropoda sp.B,Patellogastropoda,sp.B,Patellogastropoda,Lottiidae,lecithotrophic,"under rocks, intertidal",Ethanol,1,Ethanol: whole body/shell,2ml,,"small, body white, greenish speckles on snout, pinkish tentacles, one gill",Maycol:,Tauana Cunha,USNM1665184,,
